"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","-3825.42320036572","-8783.15290076615","-4210.25279167843","-7165.96234181811","7899.51284626825","-1393.8630878898","8862.19793739173","-168.047087248471","-4003.14988987813","-5365.48600133289","-3279.33425564428","-9054.41476856712","-4970.55719876432","-7531.4163366715","7673.7193477186","1317.70569882832","8321.85455347458","1215.12507988979","-3095.44791571494","-5782.96616073939","-2550.92046236521","-8275.59247939115","-3279.67041964134","-7828.49738416868","-2614.99123251252","-6222.67904890554","7342.0858196194","511.975786108833","-2018.49459349801","-6609.14906691038","-3965.17027490097","-7824.08331079476","-2151.55169184869","-7494.76783662672","8981.17782837444","-1419.82981655532","-3907.72685975498","-6645.16358099249","-3644.73525320024","-7417.28193887663","7890.8170711319","-639.108746396427","-4528.19181413061","-7894.21446262469","7047.79632571151","1356.98021471919","6939.6748383167","-1406.51964788041","9282.06638047679","1291.1420239717","6698.41831948304","686.229036628091","8036.87188358771","101.781210356633","-4771.90674689419","-6426.56641130811","-3681.29747430462","-8347.75207358556","6624.49753730454","-8.7972321875183","-2874.72102275002","-8960.13468040432","10050.1948171533","-624.597202306024","8349.24670732842","655.231793305743","6861.83065639039","-771.435161489037","9320.07294284052","11.8334919634249","9335.20294663945","874.586715264947"
"2","-3825.49752238274","-8783.85714635207","-4210.99847877877","-7164.71510458422","7895.91850913561","-1393.72829915552","8861.18479587776","-167.340556325941","-4001.03962429869","-5362.29841174694","-3280.22944535032","-9055.8599219785","-4969.51177300364","-7530.48546959321","7673.93881888133","1317.02728135929","8321.96655256736","1214.80658923135","-3093.70054142284","-5778.41120572257","-2551.06080706146","-8274.38925408058","-3277.94468493087","-7827.33039841523","-2613.28885032498","-6218.38941231771","7339.90164288244","510.922555902129","-2016.66693415445","-6605.52619926723","-3965.60203347982","-7824.81633053756","-2150.02517626526","-7491.98312784312","8978.09194281568","-1419.77886399216","-3906.85698914644","-6644.14350933645","-3644.95013608144","-7416.79615551848","7888.93409298483","-639.177605481374","-4528.27713183815","-7893.73898708677","7043.64176145999","1357.08247534076","6935.20089295097","-1405.65649375352","9282.28680222008","1291.47867122822","6691.87402026164","688.508371989579","8035.01453950649","101.669364256321","-4770.97216455477","-6422.58949027557","-3680.50646058257","-8347.5879387831","6618.57295317692","-8.5902694536921","-2874.89195576347","-8960.01117018883","10040.7782751095","-625.033190511883","8348.92259185596","655.323531859652","6858.00988983973","-771.214341003749","9321.0004927782","11.9510735224107","9335.40969131596","874.593582016071"
"3","-3825.58540798684","-8784.59497219959","-4211.76165817269","-7163.50076087474","7892.3605611901","-1393.59742895351","8860.20937841609","-166.634947084273","-3998.94935025949","-5359.14470113345","-3281.13783158782","-9057.33867467744","-4968.48594961006","-7529.58754689509","7674.19292276992","1316.3538037148","8322.11410564725","1214.49163707745","-3091.97020549803","-5773.89247832412","-2551.21384730989","-8273.22046284847","-3276.23452016357","-7826.19606510755","-2611.60062087256","-6214.13637139753","7337.75338685556","509.870862233031","-2014.8517483898","-6601.93769980678","-3966.04948107045","-7825.58189476687","-2148.51186383144","-7489.23371230334","8975.04577273688","-1419.73214599669","-3906.00533854642","-6643.15648718414","-3645.1813673097","-7416.34274579847","7887.08630788068","-639.248116585075","-4528.37895134046","-7893.29461662762","7039.52216056162","1357.18890964048","6930.76073648658","-1404.79758642311","9282.5445561208","1291.81924801615","6685.36586835403","690.789381553834","8033.194164829","101.557473349609","-4770.0576186391","-6418.64883251873","-3679.73123987327","-8347.45773658397","6612.68478709449","-8.38358928700752","-2875.07458039991","-8959.92300623112","10031.4075742258","-625.470851705685","8348.63481598303","655.417452300445","6854.22254436932","-770.995907686844","9321.96416395846","12.0693851957185","9335.65400918736","874.60317352414"
"4","-3825.68662267973","-8785.3656132196","-4212.54187253867","-7162.31848256165","7888.83817998587","-1393.4704539655","8859.27079392014","-165.930247553072","-3996.87858885645","-5356.02379274361","-3282.0590887722","-9058.85036133583","-4967.47940318546","-7528.72180876259","7674.480649794","1315.68522249937","8322.29631715709","1214.1801865424","-3090.25645673936","-5769.40887249676","-2551.37913234334","-8272.08536653977","-3274.53959011652","-7825.09366189619","-2609.92610097041","-6209.91882120381","7335.64003732132","508.820803774249","-2013.04867236122","-6598.3826355158","-3966.5122177169","-7826.37922849977","-2147.01134393438","-7486.51880979286","8972.03838749963","-1419.68961814211","-3905.1714169256","-6642.20152669728","-3645.4284750183","-7415.92088311603","7885.2728401489","-639.320279067539","-4528.49693529437","-7892.88071378673","7035.43663125231","1357.29949096958","6926.35359978547","-1403.94294873832","9282.83875860916","1292.16370516241","6678.89303821511","693.07193457618","8031.40977447482","101.445564510624","-4769.16269480631","-6414.74352177411","-3678.97142951356","-8347.36066531603","6606.83216783085","-8.17718734843544","-2875.26852800315","-8959.86943736254","10022.0821656375","-625.910178053438","8348.38245684657","655.513513333216","6850.46780500518","-770.779845934275","9322.96314532144","12.188347178201","9335.93498788471","874.615417301315"
"5","-3825.80093147431","-8786.16830320222","-4213.33866403338","-7161.1674404938","7885.35054184184","-1393.34735067478","8858.36815005704","-165.226445722739","-3994.82686061312","-5352.93460896245","-3282.99289087795","-9060.39431549903","-4966.49180768752","-7527.88749437096","7674.80098931759","1315.02149404155","8322.51229041364","1213.87220060929","-3088.55884352233","-5764.95928124578","-2551.55621109744","-8270.98322481935","-3272.85955903499","-7824.02246530411","-2608.26484707595","-6205.73565579371","7333.56057902711","507.772479044012","-2011.25734196156","-6594.86007239621","-3966.98984297564","-7827.2075556681","-2145.52320552703","-7483.83763885242","8969.06885512885","-1419.65123580537","-3904.35473280249","-6641.27763901352","-3645.69098678549","-7415.52973989155","7883.49281305795","-639.39409221122","-4528.63074576618","-7892.49664012135","7031.38428070905","1357.41419250598","6921.97871264076","-1403.09260335998","9283.16852490202","1292.51199328196","6672.45470317174","695.355900303042","8029.66038222794","101.333664627601","-4768.28697811449","-6410.87264075482","-3678.22664631738","-8347.29592225876","6601.01422313394","-7.97105924866201","-2875.47342969502","-8959.84971120573","10012.801498762","-626.3511616391","8348.16459042934","655.611673573577","6846.74485578022","-770.566140036824","9323.99662459248","12.3078796291988","9336.25171381511","874.630240722922"
"6","-3825.92809893227","-8787.00227493421","-4214.15157435928","-7160.04680462118","7881.89682197821","-1393.22809537704","8857.5005533883","-164.523529548673","-3992.79368555768","-5349.87607147276","-3283.93891148043","-9061.96986968076","-4965.52283648665","-7527.0838419999","7675.15292980678","1314.36257440739","8322.76112774199","1213.56764214433","-3086.87691386937","-5760.54259680427","-2551.74463228019","-8269.91329628513","-3271.19409068844","-7822.98175084231","-2606.61641536426","-6201.58576840146","7331.51399584636","506.725986392224","-2009.4773928773","-6591.36907561746","-3967.48195597628","-7828.06609922919","-2144.04703719164","-7481.18941690575","8966.13624246871","-1419.61695417849","-3903.55479432054","-6640.38383439355","-3645.9684297048","-7415.16848769229","7881.74534895667","-639.469555220989","-4528.78004428488","-7892.14175630689","7027.36421519968","1357.53298726172","6917.63530390757","-1402.24657276262","9283.5329691407","1292.86406278499","6666.05003556575","697.641147986185","8027.94500089538","101.22180059884","-4767.4300530839","-6407.03527128476","-3677.49650663855","-8347.26270376986","6595.23007987262","-7.76520054695931","-2875.68891643113","-8959.86307429222","10003.5650214034","-626.793794464708","8347.98029170118","655.711891554379","6843.05287987337","-770.354774184136","9325.06378840518","12.4279026839105","9336.60327230555","874.647571040729"
"7","-3826.06788920136","-8787.86676031567","-4214.98014483176","-7158.95574411839","7878.47619465209","-1393.11266419114","8856.66710950953","-163.82148695544","-3990.77858329935","-5346.84710141813","-3284.89682379752","-9063.5763554573","-4964.57216242257","-7526.31008914744","7675.53545897664","1313.70841941379","8323.0419306092","1213.26647391126","-3085.21021551972","-5756.15771080743","-2551.94394444128","-8268.8748385804","-3269.5428484262","-7821.97079312461","-2604.98036180295","-6197.46805161621","7329.49927093877","505.68142398661","-2007.70846064615","-6587.90870966823","-3967.98815548184","-7828.95408127567","-2142.58242720308","-7478.57336038643","8963.23961533773","-1419.58672827984","-3902.77110932475","-6639.51912236741","-3646.26033045508","-7414.83629735754","7880.02956941478","-639.54666722407","-4528.94449189505","-7891.81542223641","7023.37554023165","1357.65584809021","6913.32260163308","-1401.40487923645","9283.93120452784","1293.21986388397","6659.6782068961","699.927546896891","8026.26264246487","101.10999932865","-4766.59150375979","-6403.23049443202","-3676.78062643323","-8347.26020541107","6589.47886418241","-7.55960675006664","-2875.91461905623","-8959.90877217928","9994.37217985524","-627.238068450475","8347.82863475938","655.814125732393","6839.39105974796","-770.145732468691","9326.16382242365","12.5483364647486","9336.98874774577","874.667335396166"
"8","-3826.22006605238","-8788.76099047593","-4215.82391644599","-7157.89342750738","7875.08783329235","-1393.00103306972","8855.86692318934","-163.120305840929","-3988.78107310438","-5343.84661956511","-3285.86630073076","-9065.21310356085","-4963.63945786033","-7525.56547264299","7675.94756393725","1313.05898464174","8323.35379975701","1212.96865858551","-3083.55829599887","-5751.80351446596","-2552.15369604105","-8267.86710850541","-3267.90549523281","-7820.98886598174","-2603.35624222677","-6193.38139755888","7327.51538690971","504.638889798867","-2005.95018071439","-6584.47803850708","-3968.5080399487","-7829.87072314464","-2141.12896359168","-7475.98868486398","8960.37803868285","-1419.56051296523","-3902.00318543785","-6638.68251187998","-3646.56621537003","-7414.53233912298","7878.34459536258","-639.62542726995","-4529.1237492094","-7891.51699711955","7019.41736070009","1357.78274769352","6909.03983318576","-1400.56754488923","9284.36234346344","1293.57934660066","6653.33838796021","702.214966340104","8024.61231826158","100.998287723306","-4765.77091377473","-6399.45739064135","-3676.07862132191","-8347.28762207317","6583.75970161029","-7.35427331108509","-2876.15016835934","-8959.98604956591","9985.2224190034","-627.683975434853","8347.70869296813","655.918334494931","6835.75857728916","-769.938998889742","9327.29591146387","12.6691010926781","9337.40722373029","874.689460833493"
"9","-3826.38439291587","-8789.68419588863","-4216.68242994316","-7156.8590227794","7871.73091063349","-1392.89317780977","8855.09909850726","-162.419974080485","-3986.80067397152","-5340.87354646454","-3286.8470149064","-9066.87944397211","-4962.72439474598","-7524.84922875958","7676.38823133895","1312.41422544951","8323.69583533381","1212.67415876842","-3081.92070268752","-5747.47889873847","-2552.37343551907","-8266.88936212812","-3266.28169378287","-7820.03524257465","-2601.74361241175","-6189.32469805815","7325.56132596866","503.598481590812","-2004.2021884938","-6581.07612571242","-3969.04120758619","-7830.81524552604","-2139.68623420591","-7473.43460516907","8957.55057673255","-1419.53826293901","-3901.25053013598","-6637.87301143574","-3646.88561050747","-7414.25578274429","7876.68954722972","-639.705834330262","-4529.31747646084","-7891.2458395806","7015.48878103488","1357.91365862942","6904.78622538377","-1399.73459164809","9284.82549768","1293.94246077307","6647.02974899433","704.503275668501","8022.99303910408","100.886692686994","-4764.96786641038","-6395.71503986572","-3675.39010665114","-8347.34414810011","6578.07171725851","-7.14919562838787","-2876.39519512853","-8960.09415040807","9976.11518242692","-628.131507174566","8347.6195390972","656.024476166438","6832.15461394068","-769.734557357197","9328.45923961429","12.7901166985387","9337.85778319953","874.713874312918"
"10","-3826.56063291847","-8790.63560648608","-4217.5552258764","-7155.85169751604","7868.40459884876","-1392.78907406317","8854.36273899082","-161.720479531024","-3984.83690470693","-5337.92680261184","-3287.83863871598","-9068.57470601218","-4961.82664466166","-7524.16059332536","7676.85644751663","1311.77409698572","8324.06713702559","1212.3829370013","-3080.2969828901","-5743.18275450299","-2552.60271136237","-8265.94085489419","-3264.67110649568","-7819.10919550705","-2600.14202814901","-6185.29684482535","7323.63607008673","502.560296900533","-2002.46411941824","-6577.70203463139","-3969.58725641573","-7831.78686857026","-2138.25382677465","-7470.91033551795","8954.75629314909","-1419.51993276498","-3900.51265082388","-6637.08962924257","-3647.2180417181","-7414.00579761987","7875.06354508314","-639.787887298641","-4529.52533355432","-7891.00130775586","7011.58890534687","1358.04855331848","6900.56100462255","-1398.90604126126","9285.31977837669","1294.30915606233","6640.75145981306","706.792344296523","8021.40381545919","100.775241117772","-4764.18194465896","-6392.00252169702","-3674.71469755479","-8347.42897741239","6572.41403592758","-6.94436904454899","-2876.64933020535","-8960.23231803295","9967.04991249849","-628.5806553446","8347.56024545961","656.132509015024","6828.57835084057","-769.532391695449","9329.65299035546","12.9113034343479","9338.33950857998","874.740502723651"
