"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","1803.09981483712","-6383.26382537138","1063.87025622556","-6750.34047557826","-1558.73683246097","-7374.72482774622","1100.22366475184","-5697.4140433723","474.032578143891","-6923.342201724","4559.01355704046","7128.96240610486","3793.39193805935","5307.48310874645","2468.49715728254","5860.0597197711","1214.65805146984","6261.16345016759","2193.63444960391","7628.22799545226","-1176.73941194472","-8188.50708320756","-461.165606646479","-5644.43676101193","-1221.18274520716","-6884.76705582839","1807.18000184886","-5490.07479381115","-1682.66286310355","-8472.35094549788","3752.21583831417","6640.04359017886","1498.89309673488","5527.97832754914","4693.64638030459","6384.11767084357","2810.40896459841","4356.73398211549","881.049159690269","6829.15317111393","-1426.9738802464","-9449.99998500423","34.2185409163864","-6138.78901617354","603.266546237176","-8662.89579884051","-1227.91152502413","-5802.74405578183","2110.23717915589","5294.01810889657","2765.78018449899","6411.24155304721","5620.48198432235","7559.72445395615","3663.13151799927","7442.79248282826","3759.96609599793","4481.13730221748","4466.48447315826","4706.59875999873","-407.793919875997","-6699.1328595204","-1689.34875414836","-6540.78526312398","3286.7675440353","5489.27370887513","173.318663442433","-7996.61401981882","4079.88059156536","3939.33395347658","1996.02969415002","-7836.34621277829","3300.20955193748","6935.30206001617","555.039196420507","-5710.78333150292"
"2","1803.35835224487","-6382.71003298913","1064.50543518639","-6747.71484739178","-1558.68914941371","-7375.63041620773","1098.90869761075","-5694.10533433538","473.999552461689","-6922.58601613038","4559.32396966029","7130.28549151203","3793.98903501958","5306.99070295366","2468.84398744655","5860.03639654599","1213.57963811271","6259.92659250423","2193.88350287453","7627.3739420034","-1175.56184765019","-8188.29184351861","-460.616418414534","-5644.11032073081","-1220.87201681963","-6885.41208317374","1808.58930646811","-5487.96535186247","-1682.68816396679","-8472.01905657985","3752.00227134434","6639.56997151388","1497.94915204516","5527.42766111449","4694.01803762072","6383.15594157631","2810.65312297539","4358.48745877855","881.472900642913","6828.90417387684","-1427.7702813753","-9451.5638214479","34.4225847681142","-6137.93148526964","601.728649719491","-8664.70228035577","-1228.2014872925","-5801.20313500438","2109.94562475779","5293.24409263501","2765.67626921528","6412.20351720971","5622.64168457304","7560.84471351003","3662.42541344257","7446.6479778385","3759.13842372592","4480.95166643379","4466.96403438821","4706.15670344496","-407.242442000016","-6699.60606764242","-1689.45235143199","-6540.49135721638","3287.06244409778","5490.58430615072","173.19268132449","-7997.45738411207","4078.13574937658","3937.34590227363","1995.24017780079","-7836.61983815795","3300.36004685587","6936.37529055896","555.00386827496","-5709.26119646794"
"3","1803.62208756469","-6382.18668256304","1065.14389478877","-6745.12309690347","-1558.64589157796","-7376.56725577867","1097.59827078005","-5690.82779132794","473.968081489059","-6921.86214813478","4559.65162357537","7131.63747824068","3794.60354411549","5306.52444757945","2469.2039649308","5860.04012675774","1212.51028383498","6258.71922038283","2194.14451025455","7626.55297771208","-1174.38829007137","-8188.1105833857","-460.068396271026","-5643.81529821442","-1220.56572133919","-6886.08875532996","1810.00232678898","-5485.88718579663","-1682.71864154487","-8471.72159025029","3751.8050425848","6639.12477170924","1497.01816059311","5526.90511371306","4694.40984239377","6382.22389313295","2810.9123020711","4360.26453806342","881.904803192419","6828.68647262391","-1428.57131565577","-9453.16295618885","34.6276396367697","-6137.10484906955","600.19244769754","-8666.54195972064","-1228.49563908862","-5799.69027387671","2109.66854984978","5292.49787737324","2765.58569280457","6413.193634337","5624.8207737282","7561.99374605689","3661.73522399602","7450.53132941752","3758.32999847568","4480.78911804493","4467.46312403684","4705.73800177747","-406.693001475621","-6700.10991494546","-1689.56170562263","-6540.22722931748","3287.3719729192","5491.91873545632","173.065744766806","-7998.3340516059","4076.41070620362","3935.38170619814","1994.45643617697","-7836.92824707081","3300.52457603842","6937.47763399551","554.970705520226","-5707.76916612693"
"4","1803.89098438909","-6381.69287520794","1065.78555770433","-6742.56432912109","-1558.60700638169","-7377.53457561054","1096.29238973196","-5687.58058371444","473.938207856533","-6921.16974285709","4559.99614711116","7133.01768867202","3795.23498042926","5306.08362220878","2469.57670905993","5860.07017022674","1211.44965075774","6257.54055136105","2194.41702486947","7625.76429475376","-1173.21875226641","-8187.96255712472","-459.521592201881","-5643.5506298488","-1220.26373188014","-6886.79617188367","1811.41892281751","-5483.83922686063","-1682.75423134805","-8471.45781967471","3751.623803032","6638.70732008378","1496.09964695244","5526.40982585504","4694.82128948844","6381.32072389122","2811.18597958879","4362.06424827646","882.344454872503","6828.49921077935","-1429.37686956454","-9454.79665010908","34.8336605781419","-6136.30822806928","598.657942981726","-8668.41405102171","-1228.79396179163","-5798.20474511562","2109.4054355492","5291.77855746382","2765.50806015921","6414.21116743832","5627.01878250729","7563.17090498503","3661.06068730639","7454.44176307146","3757.5403471206","4480.64886579577","4467.98118011883","4705.34188023951","-406.145605414374","-6700.64353416879","-1689.67676708996","-6539.99200929847","3287.69572745773","5493.27633834586","172.9379052101","-7999.24316498896","4074.70495399194","3933.44056459163","1993.6785041578","-7837.27055169436","3300.70278977946","6938.6083290629","554.939607052091","-5706.30628823485"
"5","1804.16500602015","-6381.22771117104","1066.43034651402","-6740.03764799635","-1558.57244107078","-7378.53160388508","1094.9910597267","-5684.36287990681","473.909974147409","-6920.50794446009","4560.35716805858","7134.42544417449","3795.88285841785","5305.66750551521","2469.96183875106","5860.12578594241","1210.39740084868","6256.38980216815","2194.70059946699","7625.00708422641","-1172.05324708468","-8187.8470179645","-458.976058105959","-5643.31525125011","-1219.9659214099","-6887.5334314527","1812.83895429842","-5481.82040551063","-1682.79486864519","-8471.22701692819","3751.4582031478","6638.31694502454","1495.19313544781","5525.94093727892","4695.25187308339","6380.44563130638","2811.47363279458","4363.88561712537","882.79144316448","6828.34153083561","-1430.18682932917","-9456.46416296157","35.0406027300345","-6135.54074197743","597.125138279363","-8670.3177672363","-1229.09643658283","-5796.74582059911","2109.15576268337","5291.08522654088","2765.44297583619","6415.25537859089","5629.23524096372","7564.37554274866","3660.4015405097","7458.3785034252","3756.76899594565","4480.53011769233","4468.51764005882","4704.96756335476","-405.600260852973","-6701.20605707606","-1689.79748596407","-6539.7848261496","3288.03330430779","5494.65645560408","172.809214150725","-8000.18386589851","4073.01798388405","3931.52167624571","1992.90641631929","-7837.64586311625","3300.89433795423","6939.76661353063","554.910471680267","-5704.87160959508"
"6","1804.44411547873","-6380.79028996604","1067.07818372102","-6737.54215656627","-1558.54214272378","-7379.55756792147","1093.69428581817","-5681.17384749072","473.883422891883","-6919.87589627593","4560.73431373128","7135.86006519575","3796.54669198008","5305.27537536404","2470.35897256318","5860.20623216743","1209.35319597391","6255.26618882548","2194.99478648153","7624.28053627892","-1170.89178716686","-8187.76321816047","-458.431845792572","-5643.10809741499","-1219.6721627754","-6888.29963181343","1814.26228073335","-5479.8296515773","-1682.84048847591","-8471.02845310788","3751.30789291359","6637.95297408786","1494.29815021752","5525.49758707702","4695.70108674606","6379.59781203373","2811.77473858858","4365.72767185391","883.245355550193","6828.21257448143","-1431.00108094077","-9458.16475347664","35.2484213162809","-6134.80150984256","595.594036199949","-8672.25232034374","-1229.40304444651","-5795.31277147801","2108.91901185917","5290.41697765646","2765.39004411468","6416.32552904032","5631.46967855485","7565.60701096751","3659.75752026649","7462.34077432693","3756.01547071219","4480.43208111143","4469.07194077586","4704.61427504179","-405.05697475121","-6701.79661458124","-1689.92381214463","-6539.60480811517","3288.38429975612","5496.05842733182","172.679723138994","-8001.1552950464","4071.34928630071","3929.62423952552","1992.14020693196","-7838.05329145823","3301.09887006755","6940.95172430666","554.883198152501","-5703.46417620404"
"7","1804.72827551351","-6380.37971050655","1067.72899176357","-6735.0769570937","-1558.51605826669","-7380.61169428268","1092.40207285947","-5678.01265335127","473.858596561153","-6919.27274093197","4561.12721102258","7137.32087135392","3797.22599452327","5304.90650891472","2470.76772874614","5860.31076654127","1208.31669794955","6254.16892676649","2195.29913809848","7623.58384023866","-1169.73438494486","-8187.71040910757","-457.889006978997","-5642.92810287011","-1219.38232872916","-6889.09387002744","1815.68876139895","-5477.86589443044","-1682.89102566269","-8470.86139844465","3751.17252188405","6637.61473409969","1493.41421527585","5525.07891382037","4696.16842350702","6378.77646205033","2812.08877357549","4367.58943937611","883.705779564692","6828.1114827291","-1431.81951016665","-9459.89767946729","35.4570716507068","-6134.08965017977","594.064639260413","-8674.21692143583","-1229.7137661708","-5793.90486828708","2108.69466353217","5289.77290341602","2765.3488690531","6417.4208793004","5633.72162421148","7566.86466052567","3659.12836279661","7466.32779895208","3755.2792967224","4480.35396290992","4469.64351876751","4704.28123872801","-404.515753989885","-6702.41433687365","-1690.05569530984","-6539.45108282773","3288.74830983746","5497.4815930309","172.549483777514","-8002.1565923443","4069.6983510217","3927.74745249249","1991.37990995847","-7838.49194599942","3301.31603530213","6942.16289754266","554.857685178633","-5702.08303339519"
"8","1805.01744860995","-6379.99507123882","1068.38269302768","-6732.64115120702","-1558.49413448754","-7381.69320888112","1091.11442550839","-5674.8784637978","473.83553756148","-6918.6976204757","4561.53548646186","7138.80718152828","3797.92027902949","5304.56018272284","2471.18772528946","5860.43864618309","1207.28756859308","6253.09723095577","2195.61320631817","7622.91618473832","-1168.58105264172","-8187.68784145229","-457.34759328797","-5642.7742018209","-1219.09629195542","-6889.91524256734","1817.11825536498","-5475.92806314283","-1682.94641482288","-8470.725122414","3751.05173924042","6637.3015512554","1492.54085457505","5524.68405568286","4696.65337593388","6377.98077677612","2812.41521413505","4369.46994640983","884.172302848675","6828.03739604096","-1432.64200256287","-9461.66219793385","35.6665091410395","-6133.40428109644","592.536949890344","-8676.2107808266","-1230.02858234829","-5792.52138105521","2108.48219807546","5289.15209611337","2765.31905454593","6418.54068925225","5635.99060640695","7568.14784166977","3658.5138039137","7470.33879990658","3754.55999888315","4480.29496953327","4470.23181019333","4703.96767746301","-403.976605368676","-6703.0583535424","-1690.19308492532","-6539.32277744161","3289.12493038991","5498.92529168833","172.418547719532","-8003.18689702813","4068.06466726619","3925.89051302647","1990.62555905119","-7838.96093529868","3301.54548256663","6943.3993687387","554.833831454588","-5700.72722598225"
"9","1805.31159699917","-6379.63547027359","1069.03920985984","-6730.23384003897","-1558.47631805094","-7382.80133708353","1089.83134823278","-5671.77044468798","473.814288228225","-6918.14967649893","4561.95876627069","7140.31831394926","3798.62905812141","5304.23567284133","2471.61857997075","5860.58912779399","1206.26546977445","6252.05031600756","2195.93654301951","7622.27675784191","-1167.43180227154","-8187.69476520397","-456.807656245162","-5642.64532829945","-1218.81392509612","-6890.76284544189","1818.55062151238","-5474.01508665309","-1683.00659038056","-8470.61889384605","3750.94519384349","6637.01275121871","1491.67759206696","5524.31215056468","4697.15543620467","6377.20995119424","2812.75353649191","4371.36821960967","884.644513200662","6827.9894544552","-1433.46844348672","-9463.45756516773","35.8766892927635","-6132.74452041723","591.010970437181","-8678.23310816124","-1230.34747337674","-5791.16157941514","2108.28109584794","5288.5536478648","2765.30020438014","6419.68421824279","5638.27615322579","7569.45590410652","3657.9135790593","7474.37299932945","3753.85710176943","4480.25430712366","4470.83625095803","4703.67281403138","-403.439535603964","-6703.72779370002","-1690.33593025288","-6539.21901876567","3289.51375710984","5500.38886186005","172.28696666729","-8004.24534778165","4066.44772377262","3924.05261894724","1989.87718754967","-7839.4593673162","3301.78686054327","6944.6603728472","554.811535686305","-5699.3957984017"
"10","1805.61068266672","-6379.30000551722","1069.69846457952","-6727.85412436472","-1558.46255551251","-7383.93530381513","1088.55284531582","-5668.68776155114","473.794890819843","-6917.62805026114","4562.39667641839","7141.85358628775","3799.35184412777","5303.93225492115","2472.0599104038","5860.76146775857","1205.25006346684","6251.02739630331","2196.26870002338","7621.66474716999","-1166.28664563914","-8187.73042984521","-456.269247276637","-5642.54041631163","-1218.53510077673","-6891.63577432029","1819.98571855124","-5472.12589392784","-1683.07148657832","-8470.54198103477","3750.85253428613","6636.74765922016","1490.82395176429","5523.96233621503","4697.6740961808","6376.46317997062","2813.10321678527","4373.28328569933","885.121998628915","6827.96679771075","-1434.29871810914","-9465.28303685438","36.0875677129225","-6132.10948580825","589.486703171389","-8680.28311252433","-1230.67041945957","-5789.82473271228","2108.09083726239","5287.97665074242","2765.29192229129","6420.85072518253","5640.57779243184","7570.78819709944","3657.32742333655","7478.42961899473","3753.17012968739","4480.2311816275","4471.45627679403","4703.39587106489","-402.904551326607","-6704.42178610533","-1690.48418035907","-6539.13893339531","3289.91438560652","5501.87164175403","172.154792370396","-8005.33108285931","4064.84700887816","3922.2329681353","1989.13482847797","-7839.98634953414","3302.03981773519","6945.94514437618","554.79069661359","-5698.08779485447"
