"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36"
"1","2654.23035767319","5111.38919216272","2691.21072463213","6865.95765147218","-6603.09703495048","523.442071211582","3391.35640532325","8828.8416741551","2457.10880915356","8868.78317952457","3263.55944580621","4553.81778973612","1526.45860875185","6439.07111804698","-5592.63345463217","1823.54921076062","1850.00333569488","5377.19406131307","3186.94683181344","5612.07673721603","4405.49063941679","5181.02377563318","5029.72429289815","7566.75326566892","682.066957877558","5919.5661842146","4646.3489854503","8052.87589059856","3956.21464973365","6374.1054081011","3315.8482579486","6489.40218237005","4528.89477687669","5999.92420858784","-5217.18409205327","-1845.29276049949","-5769.87485957126","1293.69030910896","1672.74515839161","7814.20742914253","-6892.15085776306","-857.138632877703","-6959.21355597497","-1948.64121730626","-7577.8992868897","-1251.47334861639","-5854.52769295955","-1221.07463256765","-7635.30656640541","-126.914864276498","-5961.62189678832","-323.56020592241","-8239.34357443541","992.478448401271","4129.86134232224","3841.93150905838","2052.51542839078","6704.52989296686","-6575.78265279853","1109.08700138517","-8391.98843731451","-420.144854898107","-7924.82968513748","1886.59382762539","-7681.10670842823","-1780.23272664755","-5839.22084386312","413.572626803876","-8211.45087766645","360.925703529982","-6980.21315638873","1820.94929353526"
"2","2651.27413177228","5106.05877360018","2690.61916605381","6863.32675468275","-6601.39150812542","523.198040458352","3391.03810833214","8830.59064884675","2456.26955997276","8868.6587716751","3260.95553329113","4548.09684093414","1525.21050060485","6437.07130315804","-5588.78776021579","1823.39233043578","1849.79331946472","5374.64758903203","3186.2843916586","5609.77141130145","4404.86924207003","5178.25574848023","5030.06134759581","7563.80151799437","679.818648359832","5914.20976731645","4646.67649849125","8052.52069592938","3956.61288872868","6372.91784700136","3315.40859355197","6487.85101547328","4528.47178571595","5997.93639903611","-5213.77992947208","-1846.2783489963","-5765.32448791386","1292.56544536623","1669.98297191232","7811.75414328627","-6890.7817410846","-857.125431074236","-6959.86259976458","-1948.75234886811","-7577.73053051119","-1251.27398901867","-5850.71346865255","-1221.22410183248","-7631.61194610709","-126.724795256083","-5958.03007391447","-323.324043923014","-8234.53485588549","992.512435405918","4128.19810304052","3837.50695579448","2052.66085211617","6705.83084570539","-6572.19078772991","1110.20981036848","-8388.90492317683","-419.535402626838","-7924.74551792314","1886.18253563391","-7681.11611646775","-1779.94324991541","-5835.79856390556","413.186018845613","-8206.9094931563","360.712958577359","-6980.32569007083","1821.78793689525"
"3","2648.33231911692","5100.75817532807","2690.04073745113","6860.728254191","-6599.71802670673","522.955527169539","3390.73518626029","8832.37399555857","2455.44317480761","8868.57071618089","3258.36923657233","4542.40487265937","1523.97232307216","6435.10181299007","-5584.97302796471","1823.24207738559","1849.59406712637","5372.12975924791","3185.63622558322","5607.4951559083","4404.26574844438","5175.51606631652","5030.41807686702","7560.88412551552","677.578501324866","5908.88292788263","4647.02336910463","8052.19858976073","3957.02827087846","6371.75930484869","3314.98467727245","6486.33182865247","4528.06779516114","5995.97805436152","-5210.40598470395","-1847.26919337512","-5760.8055848145","1291.44501156044","1667.2326490796","7809.33685823488","-6889.4453567222","-857.114850416147","-6960.54259344113","-1948.86911942175","-7577.59392284988","-1251.07911532659","-5846.9303695307","-1221.37734847193","-7627.95335830242","-126.534835058532","-5954.46912087741","-323.087945109274","-8229.76340209745","992.54962941775","4126.55450695274","3833.10871456344","2052.8169919527","6707.16167175594","-6568.63058230162","1111.3343740875","-8385.85855249002","-418.927842131556","-7924.69451936257","1885.77697157335","-7681.15819603415","-1779.65925110805","-5832.40646857361","412.801007159114","-8202.40641611717","360.502114634629","-6980.4696309902","1822.63175718057"
"4","2645.40460236382","5095.48665013859","2689.47502876047","6858.16135381148","-6598.07571127528","522.714505845489","3390.44726633578","8834.19085280372","2454.62927165095","8868.51813280012","3255.80017895451","4536.74107101342","1522.74371933869","6433.16183018869","-5581.18836011244","1823.09836309888","1849.40513500271","5369.63982102999","3185.00195806483","5605.24718014153","4403.6797380741","5172.80399821051","5030.79398899118","7558.00031907621","675.346248782997","5903.58491962131","4647.38904654991","8051.90881358859","3957.46033869383","6370.62900100228","3314.57604083085","6484.84373975693","4527.68229055706","5994.04844149923","-5207.06136095482","-1848.26519823292","-5756.31731444891","1290.32901314209","1664.49386003413","7806.95461171818","-6888.14079612845","-857.106844910313","-6961.25256848615","-1948.99141546801","-7577.48863970985","-1250.88863476652","-5843.1775506642","-1221.53431265285","-7624.32995312928","-126.344981930509","-5950.93830518674","-322.851932809406","-8225.02847526721","992.590016285758","4124.93007457871","3828.73601336267","2052.98352134726","6708.52143025605","-6565.10125063339","1112.46062278484","-8382.84856500863","-418.322196518532","-7924.67592146461","1885.37710839682","-7681.23212851464","-1779.38068135463","-5829.04375702559","412.417571412281","-8197.9408507203","360.293181604007","-6980.64408429041","1823.48064276337"
"5","2642.49066370531","5090.2434498233","2688.92162952851","6855.62525623544","-6596.46368141165","522.474950922356","3390.17397526052","8836.04035794146","2453.82746810181","8868.50014004754","3253.24798324396","4531.10462133251","1521.52433234185","6431.25053642313","-5577.43285803908","1822.96109868308","1849.2260790209","5367.17702257402","3184.38121312659","5603.02669221998","4403.1107899278","5170.11881226738","5031.18859162179","7555.14932842095","673.121622590432","5898.3149953139","4647.7729794527","8051.65060780108","3957.9086340962","6369.52615395552","3314.18221543311","6483.38586569317","4527.3147566192","5992.14682648899","-5203.74516065786","-1849.2662680246","-5751.85884002875","1289.21745532431","1661.76627447996","7804.60644027049","-6886.86714969049","-857.101368491251","-6961.99155549972","-1949.11912327087","-7577.41385586903","-1250.70245437026","-5839.45416626875","-1221.69493435513","-7620.74087957483","-126.155234139484","-5947.43689326479","-322.616030463901","-8220.32933633292","992.633581665786","4123.32432584118","3824.38807951271","2053.16011345641","6709.9091794009","-6561.6020056287","1113.58848661614","-8379.87419920202","-417.718488722283","-7924.68895512179","1884.98291876208","-7681.33709428211","-1779.10749151092","-5825.70962746923","412.035691118036","-8193.51199970628","360.086169231245","-6980.84815400067","1824.33448173987"
"6","2639.59018492619","5085.02782529808","2688.38012897826","6853.1191631618","-6594.88105583456","522.236836782276","3389.91493926215","8837.92164730717","2453.0373814259","8868.51585533187","3250.71227181108","4525.49470832611","1520.31380482817","6429.36711251977","-5573.70562241956","1822.83019488034","1849.05645478088","5364.74061131747","3183.7736143988","5600.83289960121","4402.55848248118","5167.45977573746","5031.60139186791","7552.33038232209","670.90435449424","5893.07240695463","4648.17461589112","8051.42321179937","3958.37269848284","6368.44998146086","3313.80273184296","6481.95732256093","4526.96467752161","5990.27247458676","-5200.45648561639","-1850.27230708072","-5747.42932394227","1288.11034308703","1659.04956173832","7802.29137938728","-6885.62350687257","-857.098375032204","-6962.75858434809","-1949.25212888425","-7577.36874520661","-1250.52048099542","-5835.75936984638","-1221.85915338418","-7617.18528562021","-125.965589977179","-5943.96415056142","-322.380261629416","-8215.66524511037","992.680311022532","4121.73678014653","3820.06413978181","2053.34644118806","6711.32397657882","-6558.13205910652","1114.7178956627","-8376.93469237402","-417.116741496746","-7924.73285022547","1884.59437503955","-7681.47227281784","-1778.8396321686","-5822.4032772907","411.655345636683","-8189.1190645192","359.88108710167","-6981.08094316613","1825.19316194719"
"7","2636.70284746028","5079.83902672748","2687.85011607481","6850.64227542736","-6593.32695253857","522.000137763495","3389.66978414544","8839.83385634176","2452.25862861582","8868.56439509249","3248.19266665263","4519.9105162148","1519.11177940958","6427.51073859492","-5570.00575337113","1822.70556208348","1848.89581762353","5362.32983405411","3183.17878518005","5598.66500910562","4402.02239378935","5164.82615512405","5032.03189637511","7549.54270870633","668.694176177115","5887.85640588925","4648.59340348166","8051.22586411793","3958.85207279172","6367.39970065387","3313.43712045408","6480.55722578845","4526.63153698439","5988.42465037569","-5197.19443714612","-1851.28321962493","-5743.02792789433","1287.00768118105","1656.34339080121","7800.00846368103","-6884.40895635793","-857.097818356159","-6963.55268431043","-1949.39031817869","-7577.35248082977","-1250.34262134578","-5832.09231432556","-1222.02690938345","-7613.66231838438","-125.776047763005","-5940.51934166819","-322.144649982639","-8211.03546042759","992.730189631494","4120.16695646516","3815.76342050988","2053.54217724283","6712.76487850618","-6554.69062193237","1115.84877994406","-8374.02928078194","-416.516977406441","-7924.80683578021","1884.21144932022","-7681.63684283353","-1778.57705366444","-5819.12390318291","411.276514178265","-8184.76124544005","359.677944636207","-6981.34155397763","1826.05657098"
"8","2633.82833244658","5074.6763036482","2687.33117959075","6848.19379313622","-6591.80048893101","521.764828170469","3389.43813534346","8841.77611972017","2451.4908264509","8868.64487493527","3245.68878945337","4514.35122886746","1517.91789861955","6425.68059418696","-5566.33235059995","1822.58711035192","1848.74372269865","5359.94393704781","3182.59634849801","5596.52222703985","4401.50210155869","5162.21721629049","5032.47961140601","7546.78553478035","666.490819301908","5882.66624295308","4649.02878946469","8051.05780254395","3959.3462975661","6366.37452817663","3313.08491136207","6479.18469026689","4526.31481836061","5986.6026178763","-5193.95811621651","-1852.29890979139","-5738.6538130455","1285.9094741321","1653.64743038466","7797.75672703618","-6883.22258618982","-857.099652246806","-6964.37288422486","-1949.53357686789","-7577.36423519958","-1250.16878199146","-5828.45215220052","-1222.19814184681","-7610.17112426702","-125.586605847481","-5937.10173043179","-321.909219324102","-8206.43924025851","992.783202580876","4118.61437341124","3811.48514773181","2053.74699415525","6714.23094136147","-6551.27690414863","1116.98106943055","-8371.1571997545","-415.919218817635","-7924.91014001741","1883.83411342343","-7681.8299823925","-1778.31970608936","-5815.87070127305","410.899175804915","-8180.43774171916","359.476751087382","-6981.62908790059","1826.92459620715"
"9","2630.9663207851","5069.53890509205","2686.82290817122","6845.77291578854","-6590.30078196799","521.530882283926","3389.21961796836","8843.74757147905","2450.73359155676","8868.75640976748","3243.2002616474","4508.81602993767","1516.73180496883","6423.87585838759","-5562.68451354702","1822.47474942741","1848.59972503269","5357.58216614572","3182.02592716984","5594.40375931944","4400.99718321825","5159.63222456667","5032.94404292029","7544.05808715551","664.294015555921","5877.50116860836","4649.48022078937","8050.91826423598","3959.85491301855","6365.37368030035","3312.74563443584","6477.83883048399","4526.01400472287","5984.80564065608","-5190.74662359143","-1853.31928164196","-5734.30614015048","1284.81572624475","1650.96134898176","7795.53520276328","-6882.06348391177","-857.103830459411","-6965.21821263366","-1949.68179053514","-7577.40318025623","-1249.99886938904","-5824.83803566977","-1222.37279013088","-7606.71084909069","-125.397262615655","-5933.71058006675","-321.673993581967","-8201.87584185577","992.839334773446","4117.07854932207","3807.22854729996","2053.96056433459","6715.7212209187","-6547.89011510413","1118.11469405581","-8368.31768380908","-415.323487889494","-7925.04199050812","1883.46233890462","-7682.05086903012","-1778.06753929747","-5812.6428672495","410.523309433204","-8176.14775170784","359.277515535305","-6981.94264580326","1827.79712478814"
"10","2628.11649319231","5064.42607970802","2686.32489039867","6843.37884240837","-6588.82694828981","521.298274370877","3389.01385686179","8845.7473451437","2449.98654046449","8868.89811393189","3240.726704479","4503.30410299925","1515.55314100101","6422.09570997249","-5559.06134153318","1822.36838874971","1848.46337959609","5355.24376689072","3181.46714386233","5592.30881159075","4400.50721599078","5157.0704448548","5033.42469665424","7541.35959197189","662.103496694957","5872.36043308076","4649.9471441982","8050.80648584181","3960.3774590947","6364.39637304733","3312.41881938875","6476.51876065694","4525.7285789493","5983.03298193816","-5187.55905996897","-1854.34423918334","-5729.98406969566","1283.7264416063","1648.28481491541","7793.34292375215","-6880.93073670704","-857.110306731626","-6966.08769792763","-1949.83484465962","-7577.46848754333","-1249.83278990156","-5821.24911677374","-1222.55079346728","-7603.2806382419","-125.208016490503","-5930.34515326744","-321.438996815751","-8197.34452188261","992.898570928347","4115.55900233689","3802.99284500603","2054.18256010549","6717.2347726801","-6544.52946358304","1119.24958372926","-8365.50996676806","-414.729806565252","-7925.20161427509","1883.09609706282","-7682.29867987342","-1777.82050291488","-5809.43959648786","410.148893836503","-8171.89047298913","359.080246883647","-6982.28132808416","1828.67404368956"
