"time","x position of agent 1","y position of agent 1","x position of agent 2","y position of agent 2","x position of agent 3","y position of agent 3","x position of agent 4","y position of agent 4","x position of agent 5","y position of agent 5","x position of agent 6","y position of agent 6","x position of agent 7","y position of agent 7","x position of agent 8","y position of agent 8","x position of agent 9","y position of agent 9","x position of agent 10","y position of agent 10","x position of agent 11","y position of agent 11","x position of agent 12","y position of agent 12","x position of agent 13","y position of agent 13","x position of agent 14","y position of agent 14","x position of agent 15","y position of agent 15","x position of agent 16","y position of agent 16","x position of agent 17","y position of agent 17","x position of agent 18","y position of agent 18","x position of agent 19","y position of agent 19","x position of agent 20","y position of agent 20","x position of agent 21","y position of agent 21","x position of agent 22","y position of agent 22","x position of agent 23","y position of agent 23","x position of agent 24","y position of agent 24","x position of agent 25","y position of agent 25","x position of agent 26","y position of agent 26","x position of agent 27","y position of agent 27","x position of agent 28","y position of agent 28","x position of agent 29","y position of agent 29","x position of agent 30","y position of agent 30","x position of agent 31","y position of agent 31","x position of agent 32","y position of agent 32","x position of agent 33","y position of agent 33","x position of agent 34","y position of agent 34","x position of agent 35","y position of agent 35","x position of agent 36","y position of agent 36","x position of agent 37","y position of agent 37","x position of agent 38","y position of agent 38"
"1","4365.33716233499","12017.33079442","4798.66906694761","9626.22470401393","3455.05681661474","9978.40082450111","5558.87871916314","9936.26789382693","4854.11399705203","11255.8496436624","3608.16783175926","9197.16512740312","3036.2065060595","9456.64135918993","1561.61420436832","10949.4188189675","-17.9296134000014","9799.07196548158","4094.68182250828","9036.42223174862","4605.39490197839","10614.3112455665","5758.18105033042","8455.50226371207","-1383.16395078047","10721.1991353242","5274.42955043968","10489.7423533491","5429.15191865531","8826.80417887961","3727.94276674271","10623.7215858946","-108.36018637648","10229.1741931752","3816.87664318521","11051.2631193231","609.872873342532","10116.5693960206","-683.721992707459","9894.93779278012","4133.49409605751","9799.00617250936","1366.62137684727","10016.2397684821","5064.40889797919","9289.19054560963","-359.898858301669","11131.1272493223","5735.65114872425","11174.2036229373","6409.35050879559","10567.128050656","1160.86413595988","12532.9704396988","668.111790409307","12757.2346018443","-1077.59657920376","11926.863411389","-609.965563549032","14928.2705279184","4560.70788979751","8740.37028454102","732.099226250929","10691.2270297999","-59.0889596363166","10680.657791065","752.264025636205","12436.2405823125","-325.865415897961","14207.8836799684","-1394.49153685319","12537.6575852605","-1210.07409451962","14475.112089752","1249.30614479648","14754.2383014273"
"2","4365.98742661316","12017.8159046372","4797.59087159409","9624.85244382123","3454.03746097724","9977.56816674387","5558.98252692371","9936.56831126221","4854.39852999032","11256.4917166527","3607.67069437089","9195.2958523474","3034.6079877005","9454.54041011019","1560.51460363255","10948.2228498082","-17.6253122759059","9796.27154878525","4094.37441913435","9033.58477336217","4605.36989652523","10613.7245400072","5755.48588596465","8450.82315589775","-1383.18673981685","10713.0810933554","5274.14643308651","10489.1842916263","5429.34185506678","8826.94180129666","3728.38801154153","10623.7344523477","-108.72644449204","10227.8825827824","3817.10182361449","11051.9975615973","610.053249252296","10113.8886150464","-683.739449626749","9890.16903066488","4134.23615037905","9798.38540858256","1367.06440166811","10014.35560258","5065.42900925631","9288.98710400383","-360.662576404693","11129.3593526011","5735.59663792381","11175.3769824774","6409.55792168748","10564.0564350293","1159.22066777443","12529.0030932207","666.616289763471","12749.2585195089","-1077.48206358769","11915.745425109","-610.606561877855","14917.6514239475","4560.10672080365","8739.26677013567","731.36297717273","10691.6012528192","-59.8412222891728","10681.452279243","754.50435878801","12428.0737981195","-326.152720024316","14197.0566840169","-1394.38211316014","12530.2368654182","-1210.5729019886","14462.1789024726","1249.10675822164","14744.0562560314"
"3","4366.65360169624","12018.3442922489","4796.5327111799","9623.51918383832","3453.03301078598","9976.77327896696","5559.1078181331","9936.90750323701","4854.70135564656","11257.1749292497","3607.19066466078","9193.46745861044","3033.02405713132","9452.47708926759","1559.41931863988","10947.0712592232","-17.3210022294406","9793.51473687234","4094.08552082685","9030.78783920852","4605.3626756532","10613.1795087974","5752.81589100322","8446.18600106717","-1383.21366316037","10705.0126626277","5273.88355570298","10488.666251034","5429.55234168367","8827.1160526433","3728.84828352104","10623.786495213","-109.092181932482","10226.6357394213","3817.34168382998","11052.7719819033","610.235130188686","10111.2528550693","-683.758967009364","9885.44697387173","4134.99511459669","9797.803000394","1367.5117115379","10012.5142174735","5066.46874460935","9288.82181918928","-361.426449637752","11127.6376062948","5735.56350668534","11176.5920399121","6409.78876955191","10561.0269095115","1157.58224567137","12525.0841663748","665.125109834138","12741.3354140688","-1077.37091358921","11904.6805317785","-611.248763278387","14907.0941497766","4559.52519762495","8738.20194127783","730.628940123565","10692.0173626431","-60.593458815627","10682.2906033998","756.745037655092","12419.9567971398","-326.441445164896","14186.288706395","-1394.27717098241","12522.8678361814","-1211.07682371567","14449.3081157442","1248.91122142179","14733.9339455901"
"4","4367.33535123034","12018.9150733876","4795.49420111856","9622.22409657083","3452.04312419005","9976.01533566127","5559.25415477168","9937.28462131505","4855.02205870253","11257.8984166625","3606.72725606766","9191.67899480724","3031.454384372","9450.45061571419","1558.32840821232","10945.9630251187","-17.0167490375907","9790.80053433992","4093.81459060396","9028.03046228366","4605.37281163478","10612.6752588681","5750.17055447079","8441.58976626987","-1383.24467795197","10696.9930266071","5273.64045726076","10488.1874409992","5429.7829283824","8827.32599107671","3729.32316017378","10623.8768730469","-109.457466615446","10225.4325165087","3817.59583076758","11053.5855878871","610.418525162316","10108.6610406418","-683.780502118392","9880.77053012768","4135.77047787143","9797.25813679407","1367.96322471663","10010.7145949076","5067.52757851757","9288.69378834751","-362.190490384203","11125.9609841623","5735.55133454404","11177.8478530431","6410.04254900951","10558.0387071375","1155.94883912337","12521.2130239392","663.638152411022","12733.4646868529","-1077.26311094969","11893.6681358115","-611.892125870456","14896.5978486727","4558.96286557117","8737.17476550044","729.897142438031","10692.4744102108","-61.3456008278362","10683.1716362411","758.98599243695","12411.8891194167","-326.731514552919","14175.5790409499","-1394.17662637642","12515.5498279549","-1211.5856982822","14436.4989699502","1248.71949218049","14723.8706228155"
"5","4368.03233828162","12019.5273626024","4794.47495611722","9620.96635319264","3451.06745887493","9975.29350998216","5559.42109810093","9937.69881578132","4855.36022318498","11258.6613126483","3606.27998147044","9189.92950819847","3029.89863897917","9448.46020730832","1557.2419310008","10944.8971239268","-16.7126184200272","9788.12794438431","4093.561090895","9025.31167430152","4605.3998762712","10612.2108956844","5747.54936456689","8437.03341724915","-1383.2797411432","10689.0213670446","5273.41667604652","10487.7470695296","5430.03316432342","8827.57067361447","3729.81221846696","10624.0047429697","-109.822366434745","10224.2717660912","3817.86387088817","11054.4375856742","610.603443161111","10106.1120949135","-683.804012110514","9876.13860569226","4136.56172895141","9796.75000549876","1368.41885920954","10008.9557152379","5068.60498481319","9288.60210740439","-362.954711024394","11124.3284584194","5735.55970023971","11179.1434782067","6410.3187558812","10555.0910594476","1154.32041739393","12517.3890288555","662.155319152777","12725.645737249","-1077.15863724988","11882.7076397098","-612.536607727068","14886.1616615983","4558.41926927084","8736.18420910744","729.167611337127","10692.9714450326","-62.0975799545674","10684.0942491286","761.227153405873","12403.8703030685","-327.022851364686","14164.9269792785","-1394.08039522518","12508.2821692491","-1212.09936406563","14423.7507031751","1248.53152812309","14713.8655381689"
"6","4368.74422538727","12020.1802730066","4793.47459023962","9619.74512368199","3450.10567211897","9974.60697389026","5559.60820873212","9938.14923577338","4855.71543252955","11259.4627496524","3605.8483532656","9188.21804484089","3028.35649010189","9446.50508085471","1556.15994548226","10943.8725307691","-16.4086760295676","9785.49596896059","4093.32448362488","9022.63050584987","4605.44344096248","10611.7855233876","5744.95180875612","8432.51591861457","-1383.31880950797","10681.0968641169","5273.2117497395","10487.3443433408","5430.30259802586","8827.84915627662","3730.31503490673","10624.1692608026","-110.186949251657","10223.1523390309","3818.14541024375","11055.3271799958","610.789893146448","10103.6049398067","-683.829454044818","9871.55010554218","4137.368356247","9796.27779322313","1368.87853277803","10007.2365575975","5069.70043676458","9288.54587116657","-363.719123931366","11122.7389999057","5735.58818178535","11180.4779704204","6410.61688527262","10552.1831966213","1152.6969495422","12513.6115423355","660.676511609526","12717.8779628125","-1077.05747391473","11871.7984441856","-613.182166883115","14875.7847273868","4557.89395274313","8735.2292373366","728.440373929713","10693.5075153361","-62.8493278515539","10685.0573122515","763.468450921263","12395.8998843816","-327.315378726975","14154.3318108769","-1393.98839325743","12501.0641868048","-1212.6176592643","14411.0625513668","1248.3472867256","14703.9179400232"
"7","4369.47067460608","12020.8729164248","4792.49271696859","9618.55957695676","3449.1574208493","9973.95489829142","5559.81504669455","9938.63502941175","4856.08726964434","11260.3018589473","3605.43188344422","9186.54364973684","3026.82760653717","9444.58445224381","1555.08250995649","10942.8882196193","-16.104987442651","9782.90360894089","4093.10423029813","9019.98598654538","4605.50307677711","10611.3982449363","5742.37737385786","8428.03623401347","-1383.36183965414","10673.2186965654","5273.02521548875","10486.9784679823","5430.59077744174","8828.16049422698","3730.83118560225","10624.3695812048","-110.551282886229","10222.0730851898","3818.44005454329","11056.2535743148","610.97788404926","10101.1384961922","-683.856784891586","9867.0039335548","4138.18984790555","9795.84068581387","1369.34216295043","10005.5561000628","5070.81340715895","9288.52417345696","-364.483741466554","11121.1915782521","5735.6363565354","11181.8503835279","6410.93643165794","10549.3143476099","1151.0784044277","12509.8799239671","659.201631245301","12710.1607593736","-1076.95960221819","11860.9399482825","-613.828761344054","14865.4661829162","4557.38645946927","8734.30881452128","727.715457213929","10694.0816682126","-63.6007762118458","10686.0596947957","765.709815443924","12387.9773979017","-327.609019724428","14143.7928232874","-1393.90053606679","12493.8952057161","-1213.14042192228","14398.433748498","1248.1667253233","14694.0270748238"
"8","4370.21134756874","12021.6044035379","4791.52894926801","9617.40888100877","3448.22236169758","9973.33645317583","5560.04117150323","9939.15534392947","4856.47531697304","11261.1777707712","3605.03008366864","9184.90536698276","3025.31165678508","9442.69753659017","1554.00968254303","10941.9431634637","-15.8016181498291","9780.34986427182","4092.89979208251","9017.37714518769","4605.57835452126","10611.0481622465","5739.82554613522","8423.59332630145","-1383.40878803505","10665.3860418336","5272.85660998989","10486.6486479628","5430.89725002974","8828.5037419135","3731.36024632927","10624.6048578093","-110.915435108606","10221.0328536134","3818.74740921813","11057.2159709499","611.167424766092","10098.7116840627","-683.885961541025","9862.49899269049","4139.02569188561","9795.43786838094","1369.80966703278","10003.9133198177","5071.94336838458","9288.53610724935","-365.248575975495","11119.6851620464","5735.70380125342","11183.2597703432","6411.2768889631","10546.4837402681","1149.46475071501","12506.1935318189","657.730579460362","12702.4935211441","-1076.86500328784","11850.1315494958","-614.476349094554","14855.2051632815","4556.89633246348","8733.42190425143","726.992888078564","10694.6929497624","-64.3518567761519","10687.1002651127","767.9511775503","12380.1023765245","-327.903697406894","14133.3093022445","-1393.81673913066","12486.7745495518","-1213.66748995394","14385.8635267258","1247.98980111947","14684.1921872479"
"9","4370.96590552767","12022.3738440286","4790.58289964443","9616.29220303717","3447.30015105525","9972.75080775623","5560.2861422261","9939.70932580068","4856.87915655761","11262.0896144648","3604.64246534862","9183.3022399167","3023.80830910358","9440.84354836989","1552.94152117787","10941.0363344621","-15.4986335462724","9777.83373413068","4092.71062989216","9014.80300991242","4605.66884480747","10610.7343763313","5737.29581138355","8419.18615771178","-1383.459610961","10657.5980762044","5272.70546956132","10486.3540868749","5431.22156282845","8828.87795320778","3731.90179259346","10624.8742433582","-111.279473630379","10220.0304927123","3819.0670794871","11058.2135712001","611.358524155126","10096.3234227064","-683.916940811963","9858.03418517386","4139.87537603083","9795.06852542825","1370.28096211946","10002.307193318","5073.08979251263","9288.58076480214","-366.013639783531","11118.2187189977","5735.79009217934","11184.7051827943","6411.63775064855","10543.6906014848","1147.85595687828","12502.5517225438","656.263257613416","12694.8756408222","-1076.77365810956","11839.3726438913","-615.124888107104","14845.0008019657","4556.42311434348","8732.56746953353","726.272693304393","10695.3404052384","-65.1025013431708","10688.1778908873","770.192467946666","12372.2743515856","-328.19933479676","14122.8805318205","-1393.73691782914","12479.7015404768","-1214.19870116854","14373.3511165503","1247.81647119385","14674.4125203636"
"10","4371.73400940658","12023.1803467246","4789.65418020809","9615.20870958094","3446.39044512851","9972.19713060525","5560.54951755077","9940.29612086824","4857.29837010058","11263.0365186078","3604.26853971713","9181.73331126491","3022.31723156294","9439.02170155714","1551.87808361011","10940.1667041062","-15.1960989222947","9775.35421708079","4092.5362044702","9012.26260834328","4605.77411812297","10610.4559874387","5734.78765501819","8414.81369002383","-1383.51426461057","10649.8539749354","5272.57133021995","10486.0939875183","5431.56326252913","8829.28218154369","3732.45539969334","10625.1768898361","-111.643466095948","10219.064850444","3819.39867042124","11059.2455754672","611.551191032175","10093.9726308783","-683.949679460502","9853.60841267382","4140.73838814331","9794.73184098333","1370.75596510383","10000.7366964532","5074.25215137838","9288.65723779115","-366.778945191521","11116.7912161003","5735.89480509618","11186.1856720653","6412.01850979145","10540.9341573128","1146.2519912057","12498.9538514818","654.799567043716","12687.3065096962","-1076.68554753211","11828.6626262232","-615.774336350587","14834.8522310099","4555.96634740052","8731.74447294958","725.554899565466","10696.0230791893","-65.8526417799086","10689.2914393038","772.433617483257","12364.492852948","-328.495854896248","14112.5057945685","-1393.66098746378","12472.6754993716","-1214.73389329462","14360.895746971","1247.64669251118","14664.687315786"
